cve,state,assigner,published,title,description,vendor,product,rating
CVE-2025-23145,PUBLISHED,Linux,2025-05-01T12:55:34.622Z,mptcp: fix NULL pointer in can_accept_new_subflow,"In the Linux kernel, the following vulnerability has been resolved:

mptcp: fix NULL pointer in can_accept_new_subflow

When testing valkey benchmark tool with MPTCP, the kernel panics in
'mptcp_can_accept_new_subflow' because subflow_req->msk is NULL.

Call trace:

  mptcp_can_accept_new_subflow (./net/mptcp/subflow.c:63 (discriminator 4)) (P)
  subflow_syn_recv_sock (./net/mptcp/subflow.c:854)
  tcp_check_req (./net/ipv4/tcp_minisocks.c:863)
  tcp_v4_rcv (./net/ipv4/tcp_ipv4.c:2268)
  ip_protocol_deliver_rcu (./net/ipv4/ip_input.c:207)
  ip_local_deliver_finish (./net/ipv4/ip_input.c:234)
  ip_local_deliver (./net/ipv4/ip_input.c:254)
  ip_rcv_finish (./net/ipv4/ip_input.c:449)
  ...

According to the debug log, the same req received two SYN-ACK in a very
short time, very likely because the client retransmits the syn ack due
to multiple reasons.

Even if the packets are transmitted with a relevant time interval, they
can be processed by the server on different CPUs concurrently). The
'subflow_req->msk' ownership is transferred to the subflow the first,
and there will be a risk of a null pointer dereference here.

This patch fixes this issue by moving the 'subflow_req->msk' under the
`own_req == true` conditional.

Note that the !msk check in subflow_hmac_valid() can be dropped, because
the same check already exists under the own_req mpj branch where the
code has been moved to.",LINUX,Linux,hot
CVE-2025-23152,PUBLISHED,Linux,2025-05-01T12:55:39.454Z,arm64/crc-t10dif: fix use of out-of-scope array in crc_t10dif_arch(),"In the Linux kernel, the following vulnerability has been resolved:

arm64/crc-t10dif: fix use of out-of-scope array in crc_t10dif_arch()

Fix a silly bug where an array was used outside of its scope.",LINUX,Linux,hot
CVE-2025-23153,PUBLISHED,Linux,2025-05-01T12:55:40.116Z,arm/crc-t10dif: fix use of out-of-scope array in crc_t10dif_arch(),"In the Linux kernel, the following vulnerability has been resolved:

arm/crc-t10dif: fix use of out-of-scope array in crc_t10dif_arch()

Fix a silly bug where an array was used outside of its scope.",LINUX,Linux,hot
CVE-2025-23156,PUBLISHED,Linux,2025-05-01T12:55:42.545Z,media: venus: hfi_parser: refactor hfi packet parsing logic,"In the Linux kernel, the following vulnerability has been resolved:

media: venus: hfi_parser: refactor hfi packet parsing logic

words_count denotes the number of words in total payload, while data
points to payload of various property within it. When words_count
reaches last word, data can access memory beyond the total payload. This
can lead to OOB access. With this patch, the utility api for handling
individual properties now returns the size of data consumed. Accordingly
remaining bytes are calculated before parsing the payload, thereby
eliminates the OOB access possibilities.",LINUX,Linux,hot
CVE-2025-23158,PUBLISHED,Linux,2025-05-01T12:55:43.804Z,media: venus: hfi: add check to handle incorrect queue size,"In the Linux kernel, the following vulnerability has been resolved:

media: venus: hfi: add check to handle incorrect queue size

qsize represents size of shared queued between driver and video
firmware. Firmware can modify this value to an invalid large value. In
such situation, empty_space will be bigger than the space actually
available. Since new_wr_idx is not checked, so the following code will
result in an OOB write.
...
qsize = qhdr->q_size

if (wr_idx >= rd_idx)
 empty_space = qsize - (wr_idx - rd_idx)
....
if (new_wr_idx < qsize) {
 memcpy(wr_ptr, packet, dwords << 2) --> OOB write

Add check to ensure qsize is within the allocated size while
reading and writing packets into the queue.",LINUX,Linux,hot
CVE-2025-23159,PUBLISHED,Linux,2025-05-01T12:55:44.695Z,media: venus: hfi: add a check to handle OOB in sfr region,"In the Linux kernel, the following vulnerability has been resolved:

media: venus: hfi: add a check to handle OOB in sfr region

sfr->buf_size is in shared memory and can be modified by malicious user.
OOB write is possible when the size is made higher than actual sfr data
buffer. Cap the size to allocated size for such cases.",LINUX,Linux,hot
CVE-2025-23160,PUBLISHED,Linux,2025-05-01T12:55:45.405Z,media: mediatek: vcodec: Fix a resource leak related to the scp device in FW initialization,"In the Linux kernel, the following vulnerability has been resolved:

media: mediatek: vcodec: Fix a resource leak related to the scp device in FW initialization

On Mediatek devices with a system companion processor (SCP) the mtk_scp
structure has to be removed explicitly to avoid a resource leak.
Free the structure in case the allocation of the firmware structure fails
during the firmware initialization.",LINUX,Linux,hot
CVE-2025-23164,PUBLISHED,hackerone,2025-05-19T01:25:08.458Z,,"A misconfigured access token mechanism in the Unifi Protect Application (Version 5.3.41 and earlier) could permit the recipient of a ""Share Livestream"" link to maintain access to the corresponding livestream subsequent to such link becoming disabled.",UBIQUITIT,UniFi Protect Application,hot
CVE-2025-23165,PUBLISHED,hackerone,2025-05-19T01:25:08.569Z,,"In Node.js, the `ReadFileUtf8` internal binding leaks memory due to a corrupted pointer in `uv_fs_s.file`: a UTF-16 path buffer is allocated but subsequently overwritten when the file descriptor is set. This results in an unrecoverable memory leak on every call. Repeated use can cause unbounded memory growth, leading to a denial of service.

Impact:
* This vulnerability affects APIs relying on `ReadFileUtf8` on Node.js release lines: v20 and v22.",NODEJS,node,hot
CVE-2025-23166,PUBLISHED,hackerone,2025-05-19T01:25:08.462Z,,"The C++ method SignTraits::DeriveBits() may incorrectly call ThrowException() based on user-supplied inputs when executing in a background thread, crashing the Node.js process. Such cryptographic operations are commonly applied to untrusted inputs. Thus, this mechanism potentially allows an adversary to remotely crash a Node.js runtime.",NODEJS,node,hot
CVE-2025-23168,PUBLISHED,hackerone,2025-06-18T23:30:52.692Z,,"The Versa Director SD-WAN orchestration platform implements Two-Factor Authentication (2FA) using One-Time Passcodes (OTP) delivered via email or SMS. Versa Director accepts untrusted user input when dispatching 2FA codes, allowing an attacker who knows a valid username and password to redirect the OTP delivery (SMS/email) to their own device. OTP/TOTP codes are not invalidated after use, enabling reuse by an attacker who has previously intercepted or obtained a valid code. In addition, the 2FA system does not adequately restrict the number or frequency of login attempts. The OTP values are generated from a relatively small keyspace, making brute-force attacks more feasible. 

Exploitation Status: 

Versa Networks is not aware of any reported instance where this vulnerability was exploited. Proof of concept for this vulnerability has been disclosed by third party security researchers.  

Workarounds or Mitigation: 

Versa recommends that Director be upgraded to one of the remediated software versions.",VERSA,Director,warm
CVE-2025-23170,PUBLISHED,hackerone,2025-06-18T23:30:49.238Z,,"The Versa Director SD-WAN orchestration platform includes functionality to initiate SSH sessions to remote CPEs and the Director shell via Shell-In-A-Box. The underlying Python script, shell-connect.py, is vulnerable to command injection through the user argument. This allows an attacker to execute arbitrary commands on the system. 

Exploitation Status: 

Versa Networks is not aware of any reported instance where this vulnerability was exploited. Proof of concept for this vulnerability has been disclosed by third party security researchers.  

Workarounds or Mitigation: 

There are no workarounds to disable the GUI option. Versa recommends that Director be upgraded to one of the remediated software versions.",VERSA,Director,warm
CVE-2025-23172,PUBLISHED,hackerone,2025-06-18T23:30:51.224Z,,"The Versa Director SD-WAN orchestration platform includes a Webhook feature for sending notifications to external HTTP endpoints. However, the ""Add Webhook"" and ""Test Webhook"" functionalities can be abused by an authenticated user to send crafted HTTP requests to localhost. This can be leveraged to execute commands on behalf of the versa user, who has sudo privileges, potentially leading to privilege escalation or remote code execution.  
 
Exploitation Status: 

Versa Networks is not aware of any reported instance where this vulnerability was exploited. Proof of concept for this vulnerability has been disclosed by third party security researchers.  

Workarounds or Mitigation: 

There are no workarounds to disable the GUI option. Versa recommends that Director be upgraded to one of the remediated software versions.",VERSA,Director,warm
CVE-2025-23173,PUBLISHED,hackerone,2025-06-18T23:30:50.570Z,,"The Versa Director SD-WAN orchestration platform provides direct web-based access to uCPE virtual machines through the Director GUI. By default, the websockify service is exposed on port 6080 and accessible from the internet. This exposure introduces significant risk, as websockify has known weaknesses that can be exploited, potentially leading to remote code execution. 

Versa Networks is not aware of any reported instance where this vulnerability was exploited. Proof of concept for this vulnerability has been disclosed by third party security researchers.  

Workarounds or Mitigation: 

Restrict access to TCP port 6080 if uCPE console access is not necessary. Versa recommends that Director be upgraded to one of the remediated software versions.",VERSA,Director,warm
CVE-2025-23176,PUBLISHED,INCD,2025-04-22T14:23:42.733Z,Tecnick –  CWE-89: Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),CWE-89: Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),TECNICK,TCExam,warm
CVE-2025-23178,PUBLISHED,INCD,2025-04-29T16:05:05.987Z,Ribbon Communications - CWE-923: Improper Restriction of Communication Channel to Intended Endpoints,CWE-923: Improper Restriction of Communication Channel to Intended Endpoints,RIBBON COMMUNICATIONS,Apollo 9608,warm
CVE-2025-23179,PUBLISHED,INCD,2025-04-29T16:09:12.121Z,Ribbon Communications - CWE-798: Use of Hard-coded Credentials,CWE-798: Use of Hard-coded Credentials,RIBBON COMMUNICATIONS,Apollo 9608,warm
CVE-2025-23180,PUBLISHED,INCD,2025-04-29T16:18:48.113Z,Ribbon Communications - CWE-250: Execution with Unnecessary Privileges,CWE-250: Execution with Unnecessary Privileges,RIBBON COMMUNICATIONS,Apollo 9608,warm
CVE-2025-23181,PUBLISHED,INCD,2025-04-29T16:19:37.077Z,Ribbon Communications - CWE-250: Execution with Unnecessary Privileges,CWE-250: Execution with Unnecessary Privileges,RIBBON COMMUNICATIONS,Apollo 9608,warm
CVE-2025-23186,PUBLISHED,sap,2025-04-08T07:10:22.346Z,Mixed Dynamic RFC Destination vulnerability through Remote Function Call (RFC) in SAP NetWeaver Application Server ABAP,"In certain conditions, SAP NetWeaver Application Server ABAP allows an authenticated attacker to craft a Remote Function Call (RFC) request to restricted destinations, which can be used to expose credentials for a remote service. These credentials can then be further exploited to completely compromise the remote service, potentially resulting in a significant impact on the confidentiality, integrity, and availability of the application.",SAP_SE,SAP NetWeaver Application Server ABAP,hot
CVE-2025-23187,PUBLISHED,sap,2025-02-11T00:33:10.032Z,Missing Authorization Check in SAP NetWeaver and ABAP Platform (SDCCN),"Due to missing authorization check in an RFC enabled function module in transaction SDCCN, an unauthenticated attacker could generate technical meta-data. This leads to a low impact on integrity. There is no impact on confidentiality or availability.",SAP_SE,SAP NetWeaver and ABAP Platform (SDCCN),warm
CVE-2025-23188,PUBLISHED,sap,2025-03-11T00:32:01.809Z,Missing Authorization check in SAP S/4HANA (RBD),"An authenticated user with low privileges can exploit a missing authorization check in an IBS module of FS-RBD, allowing unauthorized access to perform actions beyond their intended permissions. This causes a low impact on integrity with no impact on confidentiality and availability.",SAP_SE,SAP S/4HANA (RBD),warm
CVE-2025-23189,PUBLISHED,sap,2025-02-11T00:33:18.120Z,Missing Authorization Check in SAP NetWeaver and ABAP Platform (SDCCN),"Due to missing authorization check in an RFC enabled function module in transaction SDCCN, an authenticated attacker could generate technical meta-data. This leads to a low impact on integrity. There is no impact on confidentiality or availability",SAP_SE,SAP NetWeaver and ABAP Platform (SDCCN),warm
CVE-2025-23190,PUBLISHED,sap,2025-02-11T00:35:03.340Z,Missing Authorization check in SAP NetWeaver and ABAP platform (ST-PI),"Due to missing authorization check, an authenticated attacker could call a remote-enabled function module which allows them to access data that they would otherwise not have access to. The attacker cannot modify data or impact the availability of the system.",SAP_SE,SAP NetWeaver and ABAP platform (ST-PI),warm
CVE-2025-23191,PUBLISHED,sap,2025-02-11T00:35:15.392Z,Cache Poisoning through header manipulation vulnerability in SAP Fiori for SAP ERP,Cached values belonging to the SAP OData endpoint in SAP Fiori for SAP ERP could be poisoned by modifying the Host header value in an HTTP GET request. An attacker could alter the `atom:link` values in the returned metadata redirecting them from the SAP server to a malicious link set by the attacker. Successful exploitation could cause low impact on integrity of the application.,SAP_SE,SAP Fiori for SAP ERP,warm
CVE-2025-23192,PUBLISHED,sap,2025-06-10T00:10:12.042Z,Cross-Site Scripting (XSS) vulnerability in SAP BusinessObjects Business Intelligence (BI Workspace),"SAP BusinessObjects Business Intelligence (BI Workspace) allows an unauthenticated attacker to craft and store malicious script within a workspace. When the victim accesses the workspace, the script will execute in their browser enabling the attacker to potentially access sensitive session information, modify or make browser information unavailable. This leads to a high impact on confidentiality and low impact on integrity, availability.",SAP_SE,SAP BusinessObjects Business Intelligence (BI Workspace),hot
CVE-2025-23193,PUBLISHED,sap,2025-02-11T00:35:25.783Z,Information Disclosure vulnerability in SAP NetWeaver Application Server ABAP,"SAP NetWeaver Server ABAP allows an unauthenticated attacker to exploit a vulnerability that causes the server to respond differently based on the existence of a specified user, potentially revealing sensitive information. This issue does not enable data modification and has no impact on server availability.",SAP_SE,SAP NetWeaver Server ABAP,warm
CVE-2025-23194,PUBLISHED,sap,2025-03-11T00:32:11.498Z,Missing Authentication check in SAP NetWeaver Enterprise Portal (OBN component),"SAP NetWeaver Enterprise Portal OBN does not perform proper authentication check for a particular configuration setting. As result, a non-authenticated user can set it to an undesired value causing low impact on integrity. There is no impact on confidentiality or availability of the application.",SAP_SE,SAP NetWeaver Enterprise Portal (OBN component),warm
CVE-2025-23195,PUBLISHED,apache,2025-01-21T21:22:33.286Z,Apache Ambari: XML External Entity (XXE) Vulnerability in Ambari/Oozie,"An XML External Entity (XXE) vulnerability exists in the Ambari/Oozie 
project, allowing an attacker to inject malicious XML entities. This 
vulnerability occurs due to insecure parsing of XML input using the 
`DocumentBuilderFactory` class without disabling external entity 
resolution. An attacker can exploit this vulnerability to read arbitrary
 files on the server or perform server-side request forgery (SSRF) 
attacks. The issue has been fixed in both Ambari 2.7.9 and the trunk 
branch.",APACHE,Apache Ambari,hot
CVE-2025-23196,PUBLISHED,apache,2025-01-21T21:23:41.389Z,Apache Ambari: Code Injection Vulnerability in Ambari Alert Definition,"A code injection vulnerability exists in the Ambari Alert Definition 
feature, allowing authenticated users to inject and execute arbitrary 
shell commands. The vulnerability arises when defining alert scripts, 
where the script filename field is executed using `sh -c`. An attacker 
with authenticated access can exploit this vulnerability to inject 
malicious commands, leading to remote code execution on the server. The 
issue has been fixed in the latest versions of Ambari.",APACHE,Apache Ambari,hot
CVE-2025-23207,PUBLISHED,GitHub_M,2025-01-17T21:25:05.746Z,\htmlData does not validate attribute names in KaTeX,"KaTeX is a fast, easy-to-use JavaScript library for TeX math rendering on the web. KaTeX users who render untrusted mathematical expressions with `renderToString` could encounter malicious input using `\htmlData` that runs arbitrary JavaScript, or generate invalid HTML. Users are advised to upgrade to KaTeX v0.16.21 to remove this vulnerability. Users unable to upgrade should avoid use of or turn off the `trust` option, or set it to forbid `\htmlData` commands, forbid inputs containing the substring `""\\htmlData""` and sanitize HTML output from KaTeX.",KATEX,KaTeX,warm
CVE-2025-23211,PUBLISHED,GitHub_M,2025-01-28T15:24:27.397Z,Tandoor Recipes - SSTI - Remote Code Execution,"Tandoor Recipes is an application for managing recipes, planning meals, and building shopping lists. A Jinja2 SSTI vulnerability allows any user to execute commands on the server. In the case of the provided Docker Compose file as root. This vulnerability is fixed in 1.5.24.",TANDOORRECIPES,recipes,hot
CVE-2025-23213,PUBLISHED,GitHub_M,2025-01-28T15:31:19.544Z,Tandoor Recipes - Stored XSS through Unrestricted File Upload,"Tandoor Recipes is an application for managing recipes, planning meals, and building shopping lists. The file upload feature allows to upload arbitrary files, including html and svg. Both can contain malicious content (XSS Payloads). This vulnerability is fixed in 1.5.28.",TANDOORRECIPES,recipes,warm
CVE-2025-23218,PUBLISHED,GitHub_M,2025-01-20T15:45:52.680Z,WeGIA has a SQL Injection endpoint 'adicionar_especie.php' parameter 'especie',"WeGIA is an open source web manager with a focus on the Portuguese language and charitable institutions. A SQL Injection vulnerability was identified in the WeGIA application, specifically in the adicionar_especie.php endpoint. This vulnerability allows attackers to execute arbitrary SQL commands in the database, allowing unauthorized access to sensitive information. During the exploit, it was possible to perform a complete dump of the application's database, highlighting the severity of the flaw. This vulnerability is fixed in 3.2.10.",LABREDESCEFETRJ,WeGIA,warm
CVE-2025-23219,PUBLISHED,GitHub_M,2025-01-20T15:47:39.681Z,WeGIA has a SQL Injection endpoint 'adicionar_cor.php' parameter 'cor',"WeGIA is an open source web manager with a focus on the Portuguese language and charitable institutions. A SQL Injection vulnerability was identified in the WeGIA application, specifically in the adicionar_cor.php endpoint. This vulnerability allows attackers to execute arbitrary SQL commands in the database, allowing unauthorized access to sensitive information. During the exploit, it was possible to perform a complete dump of the application's database, highlighting the severity of the flaw. This vulnerability is fixed in 3.2.10.",LABREDESCEFETRJ,WeGIA,warm
CVE-2025-23220,PUBLISHED,GitHub_M,2025-01-20T15:48:36.049Z,WeGIA has a SQL Injection endpoint 'adicionar_raca.php' parameter 'raca',"WeGIA is an open source web manager with a focus on the Portuguese language and charitable institutions. A SQL Injection vulnerability was identified in the WeGIA application, specifically in the adicionar_raca.php endpoint. This vulnerability allows attackers to execute arbitrary SQL commands in the database, allowing unauthorized access to sensitive information. During the exploit, it was possible to perform a complete dump of the application's database, highlighting the severity of the flaw. This vulnerability is fixed in 3.2.10.",LABREDESCEFETRJ,WeGIA,warm
CVE-2025-23222,PUBLISHED,mitre,2025-01-24T00:00:00.000Z,,"An issue was discovered in Deepin dde-api-proxy through 1.0.19 in which unprivileged users can access D-Bus services as root. Specifically, dde-api-proxy runs as root and forwards messages from arbitrary local users to legacy D-Bus methods in the actual D-Bus services, and the actual D-Bus services don't know about the proxy situation (they believe that root is asking them to do things). Consequently several proxied methods, that shouldn't be accessible to non-root users, are accessible to non-root users. In situations where Polkit is involved, the caller would be treated as admin, resulting in a similar escalation of privileges.",DEEPIN,dde-api-proxy,warm
CVE-2025-23225,PUBLISHED,ibm,2025-02-28T02:23:30.753Z,IBM MQ denial of service,"IBM MQ 9.3 LTS, 9.3 CD, 9.4 LTS, and 9.4 CD could allow an authenticated user to cause a denial of service due to the improper handling of invalid headers sent to the queue.",IBM,MQ,warm
CVE-2025-23227,PUBLISHED,ibm,2025-01-23T17:19:35.814Z,IBM Tivoli Application Dependency Discovery Manager cross-site scripting,IBM Tivoli Application Dependency Discovery Manager 7.3.0.0 through 7.3.0.11 is vulnerable to stored cross-site scripting. This vulnerability allows authenticated users to embed arbitrary JavaScript code in the Web UI thus altering the intended functionality potentially leading to credentials disclosure within a trusted session.,IBM,Tivoli Application Dependency Discovery Manager,warm
CVE-2025-23236,PUBLISHED,jpcert,2025-02-06T07:05:49.056Z,,"Buffer overflow vulnerability exists in Defense Platform Home Edition Ver.3.9.51.x and earlier. If an attacker performs a specific operation, SYSTEM privilege of the Windows system where the product is running may be obtained.",HUMMING HEADS,Defense Platform Home Edition,warm
CVE-2025-23237,PUBLISHED,jpcert,2025-01-22T05:50:14.930Z,,"Improper neutralization of special elements used in an OS command ('OS Command Injection') issue exists in UD-LT2 firmware Ver.1.00.008_SE and earlier. If a user logs in to CLI of the affected product, an arbitrary OS command may be executed.",I-O DATA DEVICE,UD-LT2,warm
CVE-2025-23239,PUBLISHED,f5,2025-02-05T17:31:03.286Z,BIG-IP iControl REST vulnerability,"When running in Appliance mode, an authenticated remote command injection vulnerability exists in an undisclosed iControl REST endpoint. A successful exploit can allow the attacker to cross a security boundary.

 


Note: Software versions which have reached End of Technical Support (EoTS) are not evaluated.",F5,BIG-IP,hot
CVE-2025-23240,PUBLISHED,OpenHarmony,2025-03-04T03:44:46.625Z,Arkcompiler Ets Runtime has an out-of-bounds write vulnerability,in OpenHarmony v5.0.2 and prior versions allow a local attacker arbitrary code execution in pre-installed apps through out-of-bounds write. This vulnerability can be exploited only in restricted scenarios.,OPENHARMONY,OpenHarmony,warm
CVE-2025-23242,PUBLISHED,nvidia,2025-03-11T19:42:04.385Z,,"NVIDIA Riva contains a vulnerability where a user could cause an improper access control issue. A successful exploit of this vulnerability might lead to escalation of privileges, data tampering, denial of service, or information disclosure.",NVIDIA,Riva,hot
CVE-2025-23243,PUBLISHED,nvidia,2025-03-11T19:43:23.276Z,,NVIDIA Riva contains a vulnerability where a user could cause an improper access control issue. A successful exploit of this vulnerability might lead to data tampering or denial of service.,NVIDIA,Riva,warm
CVE-2025-23244,PUBLISHED,nvidia,2025-05-01T14:04:45.789Z,,"NVIDIA GPU Display Driver for Linux contains a vulnerability which could allow an unprivileged attacker to escalate permissions. A successful exploit of this vulnerability might lead to code execution, denial of service, escalation of privileges, information disclosure, and data tampering.",NVIDIA,"GPU Display Driver, vGPU Software, Cloud Gaming",hot
CVE-2025-23245,PUBLISHED,nvidia,2025-05-01T13:53:48.765Z,,"NVIDIA vGPU software for Windows and Linux contains a vulnerability in the Virtual GPU Manager (vGPU plugin), where it allows a guest to access global resources. A successful exploit of this vulnerability might lead to denial of service.",NVIDIA,"vGPU Software, Cloud Gaming",warm
CVE-2025-23246,PUBLISHED,nvidia,2025-05-01T14:12:30.765Z,,"NVIDIA vGPU software for Windows and Linux contains a vulnerability in the Virtual GPU Manager (vGPU plugin), where it allows a guest to consume uncontrolled resources. A successful exploit of this vulnerability might lead to denial of service.",NVIDIA,"vGPU Software, Cloud Gaming",warm
CVE-2025-23247,PUBLISHED,nvidia,2025-05-27T16:43:37.229Z,,"NVIDIA CUDA Toolkit for all platforms contains a vulnerability in the cuobjdump binary, where a failure to check the length of a buffer could allow a user to cause the tool to crash or execute arbitrary code by passing in a malformed ELF file. A successful exploit of this vulnerability might lead to arbitrary code execution.",NVIDIA,NVIDIA CUDA Toolkit,warm
CVE-2025-23249,PUBLISHED,nvidia,2025-04-22T15:30:16.986Z,,NVIDIA NeMo Framework contains a vulnerability where a user could cause a deserialization of untrusted data by remote code execution. A successful exploit of this vulnerability might lead to code execution and data tampering.,NVIDIA,NeMo Framework,hot
CVE-2025-23250,PUBLISHED,nvidia,2025-04-22T15:35:29.183Z,,NVIDIA NeMo Framework contains a vulnerability where an attacker could cause an improper limitation of a pathname to a restricted directory by an arbitrary file write. A successful exploit of this vulnerability might lead to code execution and data tampering.,NVIDIA,NeMo Framework,hot
CVE-2025-23251,PUBLISHED,nvidia,2025-04-22T15:42:03.520Z,,NVIDIA NeMo Framework contains a vulnerability where a user could cause an improper control of generation of code by remote code execution. A successful exploit of this vulnerability might lead to code execution and data tampering.,NVIDIA,NeMo Framework,hot
CVE-2025-23252,PUBLISHED,nvidia,2025-06-18T00:17:07.941Z,,The NVIDIA NVDebug tool contains a vulnerability that may allow an actor to gain access to restricted components. A successful exploit of this vulnerability may lead to information disclosure.,NVIDIA,NVDebug tool,warm
CVE-2025-23253,PUBLISHED,nvidia,2025-04-22T18:45:57.735Z,,"NVIDIA NvContainer service for Windows contains a vulnerability in its usage of OpenSSL, where an attacker could exploit a hard-coded constant issue by copying a malicious DLL in a hard-coded path. A successful exploit of this vulnerability might lead to code execution, denial of service, escalation of privileges, information disclosure, or data tampering.",NVIDIA,NVIDIA App,warm
CVE-2025-23254,PUBLISHED,nvidia,2025-05-01T14:05:50.487Z,,"NVIDIA TensorRT-LLM for any platform contains a vulnerability in python executor where an attacker may cause a data validation issue by local access to the TRTLLM server. A successful exploit of this vulnerability may lead to code execution, information disclosure and data tampering.",NVIDIA,TensorRT-LLM,hot
CVE-2025-23260,PUBLISHED,nvidia,2025-06-24T17:28:40.319Z,,NVIDIA AIStore contains a vulnerability in the AIS Operator where a user may gain elevated k8s cluster access by using the ServiceAccount attached to the ClusterRole. A successful exploit of this vulnerability may lead to information disclosure.,NVIDIA,AIStore,warm
CVE-2025-23263,PUBLISHED,nvidia,2025-07-17T17:19:50.542Z,,"NVIDIA DOCA-Host and Mellanox OFED contain a vulnerability in the VGT+ feature, where an attacker on a VM might cause escalation of privileges and denial of service on the VLAN.",NVIDIA,DOCA-Host and Mellanox OFED,hot
CVE-2025-23264,PUBLISHED,nvidia,2025-06-24T15:21:33.274Z,,"NVIDIA Megatron-LM for all platforms contains a vulnerability in a python component where an attacker may cause a code injection issue by providing a malicious file. A successful exploit of this vulnerability may lead to Code Execution, Escalation of Privileges, Information Disclosure and Data Tampering.",NVIDIA,Megatron LM,hot
CVE-2025-23265,PUBLISHED,nvidia,2025-06-24T15:29:08.448Z,,"NVIDIA Megatron-LM for all platforms contains a vulnerability in a python component where an attacker may cause a code injection issue by providing a malicious file. A successful exploit of this vulnerability may lead to Code Execution, Escalation of Privileges, Information Disclosure and Data Tampering.",NVIDIA,Megatron LM,hot
CVE-2025-23266,PUBLISHED,nvidia,2025-07-17T19:08:21.352Z,,"NVIDIA Container Toolkit for all platforms contains a vulnerability in some hooks used to initialize the container, where an attacker could execute arbitrary code with elevated permissions. A successful exploit of this vulnerability might lead to escalation of privileges, data tampering, information disclosure, and denial of service.",NVIDIA,Container Toolkit,hot
CVE-2025-23267,PUBLISHED,nvidia,2025-07-17T19:32:36.958Z,,"NVIDIA Container Toolkit for all platforms contains a vulnerability in the update-ldcache hook, where an attacker could cause a link following by using a specially crafted container image. A successful exploit of this vulnerability might lead to data tampering and denial of service.",NVIDIA,Container Toolkit,hot
CVE-2025-23269,PUBLISHED,nvidia,2025-07-17T20:14:21.557Z,,NVIDIA Jetson Linux contains a vulnerability in the kernel where an attacker may cause an exposure of sensitive information due to a shared microarchitectural predictor state that influences transient execution. A successful exploit of this vulnerability may lead to information disclosure.,NVIDIA,Jetson Orin and Xavier Devices,warm
CVE-2025-23270,PUBLISHED,nvidia,2025-07-17T19:59:24.528Z,,"NVIDIA Jetson Linux contains a vulnerability in UEFI Management mode, where an unprivileged local attacker may cause exposure of sensitive information via a side channel vulnerability. A successful exploit of this vulnerability might lead to code execution, data tampering, denial of service, and information disclosure.",NVIDIA,"Jetson Orin, IGX Orin and Xavier Devices",hot
CVE-2025-23276,PUBLISHED,nvidia,2025-08-02T22:01:47.735Z,,"NVIDIA Installer for Windows contains a vulnerability where an attacker may be able to escalate privileges. A successful exploit of this vulnerability may lead to escalation of privileges, denial of service, code execution, information disclosure and data tampering.",NVIDIA,NVIDIA GPU Display Drivers,hot
CVE-2025-23277,PUBLISHED,nvidia,2025-08-02T22:03:56.696Z,,"NVIDIA Display Driver for Linux and Windows contains a vulnerability in the kernel mode driver, where an attacker could access memory outside bounds permitted under normal use cases. A successful exploit of this vulnerability might lead to denial of service, data tampering, or information disclosure.",NVIDIA,GPU Display Drivers,hot
CVE-2025-23278,PUBLISHED,nvidia,2025-08-02T22:05:26.185Z,,NVIDIA Display Driver for Windows and Linux contains a vulnerability where an attacker might cause an improper index validation by issuing a call with crafted parameters. A successful exploit of this vulnerability might lead to data tampering  or denial of service.,NVIDIA,GPU Display Drivers,hot
CVE-2025-23279,PUBLISHED,nvidia,2025-08-02T22:06:27.048Z,,"NVIDIA .run Installer for Linux and Solaris contains a vulnerability where an attacker could use a race condition to escalate privileges. A successful exploit of this vulnerability might lead to code execution, escalation of privileges, information disclosure, denial of service, or data tampering.",NVIDIA,GPU Display Drivers,hot
CVE-2025-23281,PUBLISHED,nvidia,2025-08-02T22:07:47.139Z,,"NVIDIA GPU Display Driver for Windows contains a vulnerability where an attacker with local unprivileged access that can win a race condition might be able to trigger a use-after-free error. A successful exploit of this vulnerability might lead to code execution, escalation of privileges, data tampering, denial of service, or information disclosure.",NVIDIA,GPU Display Drivers,hot
CVE-2025-23283,PUBLISHED,nvidia,2025-08-02T22:13:17.132Z,,"NVIDIA vGPU software for Linux-style hypervisors contains a vulnerability in the Virtual GPU Manager, where a malicious guest could cause stack buffer overflow. A successful exploit of this vulnerability might lead to code execution, denial of service, escalation of privileges, information disclosure, or data tampering.",NVIDIA,GPU Display Drivers,hot
CVE-2025-23284,PUBLISHED,nvidia,2025-08-02T22:16:50.073Z,,"NVIDIA vGPU software contains a vulnerability in the Virtual GPU Manager, where a malicious guest could cause a stack buffer overflow. A successful exploit of this vulnerability might lead to code execution, denial of service, information disclosure, or data tampering.",NVIDIA,GPU Display Drivers,hot
CVE-2025-23285,PUBLISHED,nvidia,2025-08-02T22:17:50.831Z,,"NVIDIA vGPU software contains a vulnerability in the Virtual GPU Manager, where it allows a guest to access global resources. A successful exploit of this vulnerability might lead to denial of service.",NVIDIA,GPU Display Drivers,warm
