cve,published,title,description,vendor,product,score,severity,rating
CVE-2025-57740,2025-10-14 15:22:54.733000+00:00,,"An Heap-based Buffer Overflow vulnerability [CWE-122] in FortiOS version 7.6.2 and below, version 7.4.7 and below, version 7.2.10 and below, 7.0 all versions, 6.4 all versions; FortiPAM version 1.5.0, version 1.4.2 and below, 1.3 all versions, 1.2 all versions, 1.1 all versions, 1.0 all versions and FortiProxy version 7.6.2 and below, version 7.4.3 and below, 7.2 all versions, 7.0 all versions RDP bookmark connection may allow an authenticated user to execute unauthorized code via crafted requests.",Fortinet,FortiOS; FortiPAM; FortiProxy,6.7,MEDIUM,warm
CVE-2025-47890,2025-10-14 15:22:50.356000+00:00,,"An URL Redirection to Untrusted Site vulnerabilities [CWE-601] in FortiOS 7.6.0 through 7.6.2, 7.4.0 through 7.4.8, 7.2 all versions, 7.0 all versions, 6.4 all versions; FortiProxy 7.6.0 through 7.6.3, 7.4 all versions, 7.2 all versions, 7.0 all versions; FortiSASE 25.2.a may allow an unauthenticated attacker to perform an open redirect attack via crafted HTTP requests.",Fortinet,FortiOS; FortiProxy,2.5,LOW,cold
CVE-2025-57741,2025-10-14 15:22:49.758000+00:00,,"An Incorrect Permission Assignment for Critical Resource vulnerability [CWE-732] in FortiClientMac 7.4.0 through 7.4.3, 7.2.0 through 7.2.11, 7.0 all versions may allow a local attacker to run arbitrary code or commands via LaunchDaemon hijacking.",Fortinet,FortiClientMac,7,HIGH,warm
CVE-2025-49201,2025-10-14 15:22:44.720000+00:00,,"A weak authentication in Fortinet FortiPAM 1.5.0, 1.4.0 through 1.4.2, 1.3.0 through 1.3.1, 1.2.0, 1.1.0 through 1.1.2, 1.0.0 through 1.0.3, FortiSwitchManager 7.2.0 through 7.2.4 allows attacker to execute unauthorized code or commands via specially crafted http requests",Fortinet,FortiPAM; FortiSwitchManager,7.4,HIGH,warm
CVE-2025-58325,2025-10-14 15:22:39.254000+00:00,,"An Incorrect Provision of Specified Functionality vulnerability [CWE-684] in FortiOS 7.6.0, 7.4.0 through 7.4.5, 7.2.5 through 7.2.10, 7.0.0 through 7.0.15, 6.4 all versions may allow a local authenticated attacker to execute system commands via crafted CLI commands.",Fortinet,FortiOS,7.8,HIGH,warm
CVE-2025-58324,2025-10-14 15:22:35.310000+00:00,,"An improper neutralization of input during web page generation vulnerability [CWE-79] in FortiSIEM 7.2.0 through 7.2.2, 7.1 all versions, 7.0 all versions, 6.7 all versions, 6.6 all versions, 6.5 all versions, 6.4 all versions, 6.3 all versions, 6.2 all versions may allow an authenticated attacker to perform a stored cross site scripting (XSS) attack via crafted HTTP requests.",Fortinet,FortiSIEM,6.1,MEDIUM,cold
CVE-2025-58903,2025-10-14 15:22:34.563000+00:00,,"An Unchecked Return Value vulnerability [CWE-252] in Fortinet FortiOS version 7.6.0 through 7.6.3 and before 7.4.8 API allows an authenticated user to cause a  Null Pointer Dereference, crashing the http daemon via a specialy crafted request.",Fortinet,FortiOS,2.5,LOW,cold
CVE-2025-62172,2025-10-14 15:14:09.946000+00:00,Home Assistant vulnerable to Stored XSS in Energy dashboard from Energy Entity Name,"Home Assistant is open source home automation software that puts local control and privacy first. In versions 2025.1.0 through 2025.10.1, the energy dashboard is vulnerable to stored cross-site scripting. An authenticated user can inject malicious JavaScript code into an energy entity's name field, which is then executed when any user hovers over data points in the energy dashboard graph tooltips. The vulnerability exists because entity names containing HTML are not properly sanitized before being rendered in graph tooltips. This could allow an attacker with authentication to execute arbitrary JavaScript in the context of other users' sessions. Additionally, if an energy provider (such as Tibber) supplies a malicious default name for an entity, the vulnerability can be exploited without direct user action when the default name is used. This issue has been patched in version 2025.10.2. No known workarounds exist.",home-assistant,core,,,cold
CVE-2025-54891,2025-10-14 15:07:01.145000+00:00,A user with elevated privileges can inject XSS in the ACL Resource Access configuration page,"Improper Neutralization of Input During Web Page Generation (XSS or 'Cross-site Scripting') vulnerability in Centreon Infra Monitoring (ACL Resource access configuration modules) allows Stored 

XSS by users with elevated privileges.

This issue affects Infra Monitoring: from 24.10.0 before 24.10.13, from 24.04.0 before 24.04.18, from 23.10.0 before 23.10.28.",Centreon,Infra Monitoring,6.8,MEDIUM,cold
CVE-2025-62157,2025-10-14 15:06:39.829000+00:00,Argo Workflows exposes artifact repository credentials in workflow-controller logs,Argo Workflows is an open source container-native workflow engine for orchestrating parallel jobs on Kubernetes. Argo Workflows versions prior to 3.6.12 and versions 3.7.0 through 3.7.2 expose artifact repository credentials in plaintext in workflow-controller pod logs. An attacker with permissions to read pod logs in a namespace running Argo Workflows can read the workflow-controller logs and obtain credentials to the artifact repository. Update to versions 3.6.12 or 3.7.3 to remediate the vulnerability. No known workarounds exist.,argoproj,argo-workflows,,,cold
CVE-2025-54892,2025-10-14 14:59:10.681000+00:00,A user with elevated privileges can inject XSS in the SNMP traps group configuration page,"Improper Neutralization of Input During Web Page Generation (XSS or 'Cross-site Scripting') vulnerability in Centreon Infra Monitoring (SNMP traps group configuration modules) 

allows Stored XSS by users with elevated privileges.

This issue affects Infra Monitoring: from 24.10.0 before 24.10.13, from 24.04.0 before 24.04.18, from 23.10.0 before 23.10.28.",Centreon,Infra Monitoring,6.8,MEDIUM,cold
CVE-2025-54889,2025-10-14 14:54:31.311000+00:00,A user with elevated privileges can inject XSS in the SNMP traps manufacturer configuration page,"Improper Neutralization of Input During Web Page Generation (XSS or 'Cross-site Scripting') vulnerability in Centreon Infra Monitoring (SNMP traps manufacturer configuration modules) allows Stored XSS by users with elevated privileges.

This issue affects Infra Monitoring: from 24.10.0 before 24.10.13, from 24.04.0 before 24.04.18, from 23.10.0 before 23.10.28.",Centreon,Infra Monitoring,6.8,MEDIUM,cold
CVE-2025-62156,2025-10-14 14:52:44.502000+00:00,argo-workflows Zip Slip path traversal allows arbitrary file write and container configuration overwrite,"Argo Workflows is an open source container-native workflow engine for orchestrating parallel jobs on Kubernetes. Versions prior to 3.6.12 and versions 3.7.0 through 3.7.2 contain a Zip Slip path traversal vulnerability in artifact extraction. During artifact extraction the unpack/untar logic (workflow/executor/executor.go) uses filepath.Join(dest, filepath.Clean(header.Name)) without validating that header.Name stays within the intended extraction directory. A malicious archive entry can supply a traversal or absolute path that, after cleaning, overrides the destination directory and causes files to be written outside the /work/tmp extraction path and into system directories such as /etc inside the container. The vulnerability enables arbitrary file creation or overwrite in system configuration locations (for example /etc/passwd, /etc/hosts, /etc/crontab), which can lead to privilege escalation or persistence within the affected container. Update to 3.6.12 or 3.7.3 to remediate the issue.",argoproj,argo-workflows,8.1,HIGH,warm
CVE-2025-0033,2025-10-14 14:49:03.633000+00:00,,"Improper access control within AMD SEV-SNP could allow an admin privileged attacker to write to the RMP during SNP initialization, potentially resulting in a loss of SEV-SNP guest memory integrity.",AMD,"AMD EPYC™ 7003 Series Processors (formerly codenamed ""Milan""); AMD EPYC™ 9005 Series Processors (formerly codenamed ""Turin"")",6,MEDIUM,hot
CVE-2025-59428,2025-10-14 14:38:20.090000+00:00,EspoCRM allows arbitrary user creation via stored SVG injection and CSRF,"EspoCRM is an open source customer relationship management application. In versions before 9.1.9, a vulnerability allows arbitrary user creation, including administrative accounts, through a combination of stored SVG injection and lack of CSRF protection. An attacker with Knowledge Base edit permissions can embed a malicious SVG element containing a link in the body field of an article. When an authenticated user clicks the malicious link, they are redirected to an attacker-controlled HTML page that executes a CSRF request against the api/v1/User endpoint. If the victim is prompted for and enters their credentials, an attacker-controlled account is created with privileges determined by the CSRF payload. This issue has been patched in version 9.1.9.",espocrm,espocrm,5.4,MEDIUM,cold
CVE-2025-5946,2025-10-14 14:29:00.514000+00:00,RCE via the poller reload feature available only to user with high privilege,"Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection') vulnerability in Centreon Infra Monitoring (Poller reload setup in the configuration modules) allows OS Command Injection.
On the poller parameters page, a user with high privilege is able to concatenate custom instructions into the poller reload command.

This issue affects Infra Monitoring: from 24.10.0 before 24.10.13, from 24.04.0 before 24.04.18, from 23.10.0 before 23.10.28.",Centreon,Infra Monitoring,7.2,HIGH,cold
CVE-2025-10986,2025-10-14 14:22:08.308000+00:00,,"Path traversal in the admin panel of Ivanti EPMM before version 12.6.0.2, 12.5.0.4, and 12.4.0.4 allows a remote authenticated attacker with admin privileges to write data in unintended locations on disk.",Ivanti,Endpoint Manager Mobile,4.7,MEDIUM,warm
CVE-2025-8428,2025-10-14 14:22:03.098000+00:00,XSS found in the HTTP loader widget,"Improper Neutralization of Input During Web Page Generation (XSS or 'Cross-site Scripting') vulnerability in Centreon Infra Monitoring (HTTP Loader widget modules) allows Stored XSS.This issue affects Infra Monitoring: from 24.10.0 before 24.10.13, from 24.04.0 before 24.04.18, from 23.10.0 before 23.10.28.",Centreon,Infra Monitoring,6.8,MEDIUM,cold
CVE-2025-10985,2025-10-14 14:20:03.363000+00:00,,"OS command injection in the admin panel of Ivanti EPMM before version 12.6.0.2, 12.5.0.4, and 12.4.0.4 allows a remote authenticated attacker with admin privileges to achieve remote code execution.",Ivanti,Endpoint Manager Mobile,7.2,HIGH,hot
CVE-2025-10243,2025-10-14 14:17:55.836000+00:00,,"OS command injection in the admin panel of Ivanti EPMM before version 12.6.0.2, 12.5.0.4, and 12.4.0.4 allows a remote authenticated attacker with admin privileges to achieve remote code execution.",Ivanti,Endpoint Manager Mobile,7.2,HIGH,hot
CVE-2025-10242,2025-10-14 14:14:49.572000+00:00,,"OS command injection in the admin panel of Ivanti EPMM before version 12.6.0.2, 12.5.0.4, and 12.4.0.4 allows a remote authenticated attacker with admin privileges to achieve remote code execution.",Ivanti,Endpoint Manager Mobile,7.2,HIGH,hot
CVE-2025-27906,2025-10-14 14:08:42.994000+00:00,IBM Content Navigator information disclosure,"IBM Content Navigator 3.0.11, 3.0.15, 3.1.0, and 3.2.0 could expose the directory listing of the application upon using an application URL. Application files and folders are visible in the browser to a user; however, the contents of the files cannot be read obtained or modified.",IBM,Content Navigator,5.3,MEDIUM,cold
CVE-2025-33044,2025-10-14 14:00:58.404000+00:00,exFat Memory Corruption Issue,APTIOV contains a vulnerability in BIOS where an attacker may cause an Improper Restriction of Operations within the Bounds of a Memory Buffer by local means. Successful exploitation of this vulnerability may lead to memory corruption and impact Integrity and Availability.,AMI,AptioV,,,hot
CVE-2025-22833,2025-10-14 14:00:50.483000+00:00,FixupArray Pointer Validation in NTFS,APTIOV contains a vulnerability in BIOS where an attacker may cause a Buffer Copy without Checking Size of Input by local accessing. Successful exploitation of this vulnerability may lead to arbitrary code execution.,AMI,AptioV,,,hot
CVE-2025-22832,2025-10-14 14:00:42.309000+00:00,Buffer Overflow in NTFS when parsing the ATTRIBUTE_LIST,APTIOV contains a vulnerability in BIOS where an attacker may cause an Out-of-bounds Write by local. Successful exploitation of this vulnerability may lead to data corruption and loss of availability.,AMI,AptioV,,,hot
CVE-2025-22831,2025-10-14 14:00:34.748000+00:00,Buffer Overflow in NTFS when parsing the VOLUME_NAME,APTIOV contains a vulnerability in BIOS where an attacker may cause an Out-of-bounds Write by local. Successful exploitation of this vulnerability may lead to data corruption and loss of availability.,AMI,AptioV,,,hot
CVE-2025-47856,2025-10-14 13:42:47.612000+00:00,,"Two improper neutralization of special elements used in an OS command ('OS Command Injection') vulnerabilities [CWE-78] in Fortinet FortiVoice version 7.2.0, 7.0.0 through 7.0.6 and before 6.4.10 allows a privileged attacker to execute arbitrary code or commands via crafted HTTP/HTTPS or CLI requests.",Fortinet,FortiVoice,7.2,HIGH,warm
CVE-2025-9178,2025-10-14 12:51:36.797000+00:00,Rockwell Automation 1715 EtherNet/IP Comms Module Denial-Of-Service Vulnerability,A denial-of-service security issue exists in the affected product and version. The security issue is caused through CIP communication using crafted payloads. The security issue could result in no CIP communication with 1715 EtherNet/IP Adapter.A restart is required to recover.,Rockwell Automation,1715-AENTR EtherNet/IP Adapter,,,warm
CVE-2025-9177,2025-10-14 12:48:52.124000+00:00,Rockwell Automation 1715 EtherNet/IP Comms Module Denial-Of-Service Vulnerability,A denial-of-service security issue exists in the affected product and version. The security issue stems from a high number of requests sent to the web server. This could result in a web server crash however; this does not impact I/O control or communication . A power cycle is required to recover and utilize the webpage.,Rockwell Automation,1715-AENTR EtherNet/IP Adapter,,,cold
CVE-2025-7330,2025-10-14 12:43:40.198000+00:00,Rockwell Automation 1783-NATR Cross-Site Request Forgery Vulnerability,A cross-site request forgery security issue exists in the product and version listed. The vulnerability stems from missing CSRF checks on the impacted form. This allows for unintended configuration modification if an attacker can convince a logged in admin to visit a crafted link.,Rockwell Automation,Comms - 1783-NATR,,,warm
CVE-2025-10610,2025-10-14 12:43:37.800000+00:00,SQLi in SFS Winsure,Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection') vulnerability in SFS Consulting Information Processing Industry and Foreign Trade Inc. Winsure allows Blind SQL Injection.This issue affects Winsure: through Version dated 21.08.2025.,SFS Consulting Information Processing Industry and Foreign Trade Inc.,Winsure,9.8,CRITICAL,warm
CVE-2025-11498,2025-10-14 12:42:59.143000+00:00,CSV Formula Injection Vulnerability,"An Improper Neutralization of Formula Elements in a CSV File vulnerability exists in System Diagnostics Manager (SDM) of B&R Automation Runtime versions before 6.4 enabling a remote attacker to inject formula data into a generated CSV file. The exploitation of this vulnerability requires the attacker to create a malicious link. The user would need to click on this link, after which the resulting CSV file addi-tionally needs to be manually opened.",B&R Industrial Automation GmbH,Automation Runtime,6.1,MEDIUM,warm
CVE-2025-7329,2025-10-14 12:37:44.866000+00:00,Rockwell Automation Comms - 1783-NATR Stored Cross-Site Scripting Vulnerability,A Stored Cross-Site Scripting security issue exists in the affected product that could potentially allow a malicious user to view and modify sensitive data or make the webpage unavailable. The vulnerability stems from missing special character filtering and encoding. Successful exploitation requires an attacker to be able to update configuration fields behind admin login.,Rockwell Automation,Comms - 1783-NATR,,,cold
CVE-2025-7328,2025-10-14 12:35:22.323000+00:00,Rockwell Automation Comms - 1783-NATR Multiple Broken Authentication Vulnerabilities,"Multiple Broken Authentication security issues exist in the affected product. The security issues are due to missing authentication checks on critical functions. These could result in potential denial-of-service, admin account takeover, or NAT rule modifications. Devices would no longer be able to communicate through NATR as a result of denial-of-service or NAT rule modifications. NAT rule modification could also result in device communication to incorrect endpoints. Admin account takeover could allow modification of configuration and require physical access to restore.",Rockwell Automation,Comms - 1783-NATR,,,hot
CVE-2025-11720,2025-10-14 12:27:38.204000+00:00,Spoofing risk in Android custom tabs,"The Firefox and Firefox Focus UI for the Android custom tab feature only showed the ""site"" that was loaded, not the full hostname. User supplied content hosted on a subdomain of a site could have been used to fool a user into thinking it was content from a different subdomain of that site. This vulnerability affects Firefox < 144.",Mozilla,Firefox,,,cold
CVE-2025-11718,2025-10-14 12:27:37.866000+00:00,Address bar could be spoofed on Android using visibilitychange,"When the address bar was hidden due to scrolling on Android, a malicious page could create a fake address bar to fool the user in response to a visibilitychange event This vulnerability affects Firefox < 144.",Mozilla,Firefox,,,warm
CVE-2025-11717,2025-10-14 12:27:37.569000+00:00,The password edit screen was not hidden in Android card view,When switching between Android apps using the card carousel Firefox shows a black screen as its card image when a password-related screen was the last one being used. Prior to Firefox 144 the password edit screen was visible. This vulnerability affects Firefox < 144.,Mozilla,Firefox,,,cold
CVE-2025-11721,2025-10-14 12:27:37.218000+00:00,Memory safety bug fixed in Firefox 144 and Thunderbird 144,Memory safety bug present in Firefox 143 and Thunderbird 143. This bug showed evidence of memory corruption and we presume that with enough effort this could have been exploited to run arbitrary code. This vulnerability affects Firefox < 144 and Thunderbird < 144.,Mozilla,Firefox; Thunderbird,,,hot
CVE-2025-11719,2025-10-14 12:27:36.841000+00:00,Use-after-free caused by the native messaging web extension API on Windows,"Starting in Thunderbird 143, the use of the native messaging API by web extensions on Windows could lead to crashes caused by use-after-free memory corruption. This vulnerability affects Firefox < 144 and Thunderbird < 144.",Mozilla,Firefox; Thunderbird,,,hot
CVE-2025-11716,2025-10-14 12:27:36.531000+00:00,Sandboxed iframes allowed links to open in external apps (Android only),"Links in a sandboxed iframe could open an external app on Android without the required ""allow-"" permission. This vulnerability affects Firefox < 144 and Thunderbird < 144.",Mozilla,Firefox; Thunderbird,,,warm
CVE-2025-11715,2025-10-14 12:27:36.209000+00:00,"Memory safety bugs fixed in Firefox ESR 140.4, Thunderbird ESR 140.4, Firefox 144 and Thunderbird 144","Memory safety bugs present in Firefox ESR 140.3, Thunderbird ESR 140.3, Firefox 143 and Thunderbird 143. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code. This vulnerability affects Firefox < 144, Firefox ESR < 140.4, Thunderbird < 144, and Thunderbird < 140.4.",Mozilla,Firefox; Firefox ESR; Thunderbird,,,warm
CVE-2025-11713,2025-10-14 12:27:35.913000+00:00,Potential user-assisted code execution in “Copy as cURL” command,"Insufficient escaping in the “Copy as cURL” feature could have been used to trick a user into executing unexpected code on Windows. This did not affect the application when running on other operating systems. This vulnerability affects Firefox < 144, Firefox ESR < 140.4, Thunderbird < 144, and Thunderbird < 140.4.",Mozilla,Firefox; Firefox ESR; Thunderbird,,,warm
CVE-2025-11712,2025-10-14 12:27:35.544000+00:00,An OBJECT tag type attribute overrode browser behavior on web resources without a content-type,"A malicious page could have used the type attribute of an OBJECT tag to override the default browser behavior when encountering a web resource served without a content-type. This could have contributed to an XSS on a site that unsafely serves files without a content-type header. This vulnerability affects Firefox < 144, Firefox ESR < 140.4, Thunderbird < 144, and Thunderbird < 140.4.",Mozilla,Firefox; Firefox ESR; Thunderbird,,,warm
CVE-2025-11708,2025-10-14 12:27:35.228000+00:00,Use-after-free in MediaTrackGraphImpl::GetInstance(),"Use-after-free in MediaTrackGraphImpl::GetInstance() This vulnerability affects Firefox < 144, Firefox ESR < 140.4, Thunderbird < 144, and Thunderbird < 140.4.",Mozilla,Firefox; Firefox ESR; Thunderbird,,,warm
CVE-2025-11714,2025-10-14 12:27:34.820000+00:00,"Memory safety bugs fixed in Firefox ESR 115.29, Firefox ESR 140.4, Thunderbird ESR 140.4, Firefox 144 and Thunderbird 144","Memory safety bugs present in Firefox ESR 115.28, Firefox ESR 140.3, Thunderbird ESR 140.3, Firefox 143 and Thunderbird 143. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code. This vulnerability affects Firefox < 144, Firefox ESR < 115.29, Firefox ESR < 140.4, Thunderbird < 144, and Thunderbird < 140.4.",Mozilla,Firefox; Firefox ESR; Thunderbird,,,warm
CVE-2025-11711,2025-10-14 12:27:34.470000+00:00,Some non-writable Object properties could be modified,"There was a way to change the value of JavaScript Object properties that were supposed to be non-writeable. This vulnerability affects Firefox < 144, Firefox ESR < 115.29, Firefox ESR < 140.4, Thunderbird < 144, and Thunderbird < 140.4.",Mozilla,Firefox; Firefox ESR; Thunderbird,,,warm
CVE-2025-11710,2025-10-14 12:27:34.065000+00:00,Cross-process information leaked due to malicious IPC messages,"A compromised web process using malicious IPC messages could have caused the privileged browser process to reveal blocks of its memory to the compromised process. This vulnerability affects Firefox < 144, Firefox ESR < 115.29, Firefox ESR < 140.4, Thunderbird < 144, and Thunderbird < 140.4.",Mozilla,Firefox; Firefox ESR; Thunderbird,,,hot
CVE-2025-11709,2025-10-14 12:27:33.692000+00:00,Out of bounds read/write in a privileged process triggered by WebGL textures,"A compromised web process was able to trigger out of bounds reads and writes in a more privileged process using manipulated WebGL textures. This vulnerability affects Firefox < 144, Firefox ESR < 115.29, Firefox ESR < 140.4, Thunderbird < 144, and Thunderbird < 140.4.",Mozilla,Firefox; Firefox ESR; Thunderbird,,,warm
CVE-2025-9067,2025-10-14 12:24:45.641000+00:00,Rockwell Automation FactoryTalk® Linx Privilege Escalation Vulnerabilities,"A security issue exists within the x86 Microsoft Installer File (MSI), installed with FTLinx. Authenticated attackers with valid Windows user credentials can initiate a repair and hijack the resulting console window. This allows the launching of a command prompt running with SYSTEM-level privileges, allowing full access to all files, processes, and system resources.",Rockwell Automation,FactoryTalk Linx,,,hot
CVE-2025-9124,2025-10-14 12:24:30.355000+00:00,Rockwell Automation Compact GuardLogix® 5370 Denial-Of-Service Vulnerability,A denial-of-service security issue in the affected product. The security issue stems from a fault occurring when a crafted CIP unconnected explicit message is sent. This can result in a major non-recoverable fault.,Rockwell Automation,Compact GuardLogix® 5370,,,cold
CVE-2025-9068,2025-10-14 12:23:45.550000+00:00,Rockwell Automation FactoryTalk® Linx Privilege Escalation Vulnerabilities,"A security issue exists within the Rockwell Automation Driver Package x64 Microsoft Installer File (MSI) repair functionality, installed with FTLinx. Authenticated attackers with valid Windows Users credentials can initiate a repair and hijack the resulting console window for vbpinstall.exe. This allows the launching of a command prompt running with SYSTEM-level privileges, allowing full access to all files, processes, and system resources.",Rockwell Automation,FactoryTalk Linx,,,hot
CVE-2025-9064,2025-10-14 12:22:36.551000+00:00,Rockwell Automation FactoryTalk View Machine Edition Path Traversal,"A path traversal security issue exists within FactoryTalk View Machine Edition, allowing unauthenticated attackers on the same network as the device to delete any file within the panels operating system. Exploitation of this vulnerability is dependent on the knowledge of filenames to be deleted.",Rockwell Automation,FactoryTalk View Machine Edition,,,hot
CVE-2025-9063,2025-10-14 12:20:39.318000+00:00,Rockwell Automation PanelView Plus 7 Performance Series B Authentication Bypass,"An authentication bypass security issue exists within FactoryTalk View Machine Edition  Web Browser ActiveX control. Exploitation of this vulnerability allows unauthorized access to the PanelView Plus 7 Series B, including access to the file system, retrieval of diagnostic information, event logs, and more.",Rockwell Automation,PanelView Plus 7 Performance Series B,,,hot
CVE-2025-9066,2025-10-14 12:15:04.242000+00:00,Rockwell Automation FactoryTalk® ViewPoint XXE to Denial-of-Service Vulnerability,"A security issue was discovered within FactoryTalk® ViewPoint, allowing unauthenticated attackers to achieve XXE. Certain SOAP requests can be abused to perform XXE, resulting in a temporary denial-of-service.",Rockwell Automation,FactoryTalk ViewPoint,,,hot
CVE-2025-9437,2025-10-14 12:13:29.421000+00:00,Rockwell Automation ArmorStart® AOP Denial-of-Service Vulnerability,"A security issue exists within the Studio 5000 Logix Designer add-on profile (AOP) for the ArmorStart Classic distributed motor controller, resulting in denial-of-service. This vulnerability is possible due to the input of invalid values into Component Object Model (COM) methods.",Rockwell Automation,ArmorStart AOP,,,warm
CVE-2025-10228,2025-10-14 09:20:38.638000+00:00,Session Hijacking in Rolantis Information Technologies' Agentis,Session Fixation vulnerability in Rolantis Information Technologies Agentis allows Session Hijacking.This issue affects Agentis: before 4.44.,Rolantis Information Technologies,Agentis,8.8,HIGH,cold
CVE-2025-40812,2025-10-14 09:15:32.119000+00:00,,"A vulnerability has been identified in Solid Edge SE2024 (All versions < V224.0 Update 14), Solid Edge SE2025 (All versions < V225.0 Update 6). The affected applications contains an out of bounds read vulnerability while parsing specially crafted PRT files. This could allow an attacker to crash the application or execute code in the context of the current process.",Siemens,Solid Edge SE2024; Solid Edge SE2025,7.8,HIGH,cold
CVE-2025-40811,2025-10-14 09:15:29.918000+00:00,,"A vulnerability has been identified in Solid Edge SE2024 (All versions < V224.0 Update 14), Solid Edge SE2025 (All versions < V225.0 Update 6). The affected applications contains an out of bounds read vulnerability while parsing specially crafted PRT files. This could allow an attacker to crash the application or execute code in the context of the current process.",Siemens,Solid Edge SE2024; Solid Edge SE2025,7.8,HIGH,cold
CVE-2025-40810,2025-10-14 09:15:28.668000+00:00,,"A vulnerability has been identified in Solid Edge SE2024 (All versions < V224.0 Update 14), Solid Edge SE2025 (All versions < V225.0 Update 6). The affected applications contains an out of bounds write vulnerability while parsing specially crafted PRT files. This could allow an attacker to crash the application or execute code in the context of the current process.",Siemens,Solid Edge SE2024; Solid Edge SE2025,7.8,HIGH,cold
CVE-2025-40809,2025-10-14 09:15:27.478000+00:00,,"A vulnerability has been identified in Solid Edge SE2024 (All versions < V224.0 Update 14), Solid Edge SE2025 (All versions < V225.0 Update 6). The affected applications contains an out of bounds write vulnerability while parsing specially crafted PRT files. This could allow an attacker to crash the application or execute code in the context of the current process.",Siemens,Solid Edge SE2024; Solid Edge SE2025,7.8,HIGH,cold
CVE-2025-40774,2025-10-14 09:15:21.139000+00:00,,"A vulnerability has been identified in SiPass integrated (All versions < V3.0). Affected server applications store user passwords encrypted in its database. Decryption keys are accessible to users with administrative privileges, allowing them to recover passwords.

Successful exploitation of this vulnerability allows an attacker to obtain and use valid user passwords. This can lead to unauthorized access to user accounts, data breaches, and potential system compromise.",Siemens,SiPass integrated,4.4,MEDIUM,warm
CVE-2025-40773,2025-10-14 09:15:19.971000+00:00,,"A vulnerability has been identified in SiPass integrated (All versions < V3.0). Affected server applications contains a broken access control vulnerability. The authorization mechanism lacks sufficient server-side checks, allowing an attacker to execute a specific API request.

Successful exploitation allows an attacker to potentially manipulate data belonging to other users.",Siemens,SiPass integrated,3.5,LOW,hot
CVE-2025-40772,2025-10-14 09:15:18.788000+00:00,,"A vulnerability has been identified in SiPass integrated (All versions < V3.0). Affected server applications are vulnerable to stored Cross-Site Scripting (XSS), allowing an attacker to inject malicious code that can be executed by other users when they visit the affected page.

Successful exploitation allows an attacker to impersonate other users within the application and steal their session data. This could enable unauthorized access to accounts and potentially lead to privilege escalation.",Siemens,SiPass integrated,7.4,HIGH,warm
CVE-2025-40771,2025-10-14 09:15:17.564000+00:00,,"A vulnerability has been identified in SIMATIC CP 1542SP-1 (6GK7542-6UX00-0XE0) (All versions < V2.4.24), SIMATIC CP 1542SP-1 IRC (6GK7542-6VX00-0XE0) (All versions < V2.4.24), SIMATIC CP 1543SP-1 (6GK7543-6WX00-0XE0) (All versions < V2.4.24), SIPLUS ET 200SP CP 1542SP-1 IRC TX RAIL (6AG2542-6VX00-4XE0) (All versions < V2.4.24), SIPLUS ET 200SP CP 1543SP-1 ISEC (6AG1543-6WX00-7XE0) (All versions < V2.4.24), SIPLUS ET 200SP CP 1543SP-1 ISEC TX RAIL (6AG2543-6WX00-4XE0) (All versions < V2.4.24). Affected devices do not properly authenticate configuration connections. This could allow an unauthenticated remote attacker to access the configuration data.",Siemens,SIMATIC CP 1542SP-1; SIMATIC CP 1542SP-1 IRC; SIMATIC CP 1543SP-1; SIPLUS ET 200SP CP 1542SP-1 IRC TX RAIL; SIPLUS ET 200SP CP 1543SP-1 ISEC; SIPLUS ET 200SP CP 1543SP-1 ISEC TX RAIL,9.8,CRITICAL,cold
CVE-2025-40765,2025-10-14 09:15:16.351000+00:00,,A vulnerability has been identified in TeleControl Server Basic V3.1 (All versions >= V3.1.2.2 < V3.1.2.3). The affected application contains an information disclosure vulnerability. This could allow an unauthenticated remote attacker to obtain password hashes of users and to login to and perform authenticated operations of the database service.,Siemens,TeleControl Server Basic V3.1,9.8,CRITICAL,warm
CVE-2025-40755,2025-10-14 09:15:13.820000+00:00,,A vulnerability has been identified in SINEC NMS (All versions < V4.0 SP1). Affected applications are vulnerable to SQL injection through getTotalAndFilterCounts endpoint. An authenticated low privileged attacker could exploit to insert data and achieve privilege escalation. (ZDI-CAN-26570),Siemens,SINEC NMS,8.8,HIGH,cold
CVE-2025-20724,2025-10-14 09:12:06.798000+00:00,,"In wlan AP driver, there is a possible out of bounds read due to an incorrect bounds check. This could lead to local information disclosure with User execution privileges needed. User interaction is not needed for exploitation. Patch ID: WCNCR00418894; Issue ID: MSV-3475.","MediaTek, Inc.","MT6890, MT7615, MT7622, MT7663, MT7915, MT7916, MT7981, MT7986",,,warm
CVE-2025-20717,2025-10-14 09:11:56.081000+00:00,,"In wlan AP driver, there is a possible out of bounds write due to an incorrect bounds check. This could lead to local escalation of privilege if a malicious actor has already obtained the System privilege. User interaction is not needed for exploitation. Patch ID: WCNCR00419946; Issue ID: MSV-3582.","MediaTek, Inc.","MT6890, MT7615, MT7622, MT7663, MT7915, MT7916, MT7981, MT7986",,,warm
