,cve,assigner,published,title,description,vendor,product,affected versions,rating
1570,CVE-2025-20282,cisco,2025-06-25T16:29:12.357Z,Cisco ISE API Unauthenticated Remote Code Execution Vulnerability,"A vulnerability in an internal API of Cisco ISE and Cisco ISE-PIC could allow an unauthenticated, remote attacker to upload arbitrary files to an affected device and then execute those files on the underlying operating system as root.

This vulnerability is due a lack of file validation checks that would prevent uploaded files from being placed in privileged directories on an affected system. An attacker could exploit this vulnerability by uploading a crafted file to the affected device. A successful exploit could allow the attacker to store malicious files on the affected system and then execute arbitrary code or obtain root privileges on the system.",CISCO,Cisco Identity Services Engine Software,3.4 Patch 1; 3.4.0,hot
1571,CVE-2025-20283,cisco,2025-07-16T16:16:37.827Z,Cisco Identity Services Engine Authenticated Remote Code Execution Vulnerability,"A vulnerability in a specific API of Cisco ISE and Cisco ISE-PIC could allow an authenticated, remote attacker to execute arbitrary code on the underlying operating system as root.

This vulnerability is due to insufficient validation of user-supplied input. An attacker with valid credentials could exploit this vulnerability by submitting a crafted API request. A successful exploit could allow the attacker to execute commands as the root user. To exploit this vulnerability, the attacker must have valid high-privileged credentials.",CISCO,Cisco Identity Services Engine Software,3.3 Patch 1; 3.3 Patch 2; 3.3 Patch 3; 3.3 Patch 4; 3.3 Patch 5; 3.3 Patch 6; 3.3.0; 3.4 Patch 1; 3.4.0,warm
1572,CVE-2025-20284,cisco,2025-07-16T16:16:46.479Z,Cisco Identity Services Engine Authenticated Remote Code Execution Vulnerability,"A vulnerability in a specific API of Cisco ISE and Cisco ISE-PIC could allow an authenticated, remote attacker to execute arbitrary code on the underlying operating system as root.

This vulnerability is due to insufficient validation of user-supplied input. An attacker with valid credentials could exploit this vulnerability by submitting a crafted API request. A successful exploit could allow the attacker to execute commands as the root user. To exploit this vulnerability, the attacker must have valid high-privileged credentials.",CISCO,Cisco Identity Services Engine Software,3.3 Patch 1; 3.3 Patch 2; 3.3 Patch 3; 3.3 Patch 4; 3.3 Patch 5; 3.3 Patch 6; 3.3.0; 3.4 Patch 1; 3.4.0,warm
1573,CVE-2025-20285,cisco,2025-07-16T16:16:56.155Z,Cisco Identity Services Engine IP Filter Access Restriction for Admin Access Configuration Bypass Vulnerability,"A vulnerability in the IP Access Restriction feature of Cisco ISE and Cisco ISE-PIC could allow an authenticated, remote attacker to bypass configured IP access restrictions and log in to the device from a disallowed IP address.

This vulnerability is due to improper enforcement of access controls that are configured using the IP Access Restriction feature. An attacker could exploit this vulnerability by logging in to the API from an unauthorized source IP address. A successful exploit could allow the attacker to gain access to the targeted device from an IP address that should have been restricted. To exploit this vulnerability, the attacker must have valid administrative credentials.",CISCO,Cisco Identity Services Engine Software,3.1.0; 3.1.0 p1; 3.1.0 p10; 3.1.0 p2; 3.1.0 p3; 3.1.0 p4; 3.1.0 p5; 3.1.0 p6; 3.1.0 p7; 3.1.0 p8; 3.1.0 p9; 3.2.0; 3.2.0 p1; 3.2.0 p2; 3.2.0 p3; 3.2.0 p4; 3.2.0 p5; 3.2.0 p6; 3.2.0 p7; 3.3 Patch 1; 3.3 Patch 2; 3.3 Patch 3; 3.3 Patch 4; 3.3 Patch 5; 3.3 Patch 6; 3.3.0; 3.4 Patch 1; 3.4.0,warm
1574,CVE-2025-20286,cisco,2025-06-04T16:18:30.929Z,ISE on AWS Static Credential,"A vulnerability in Amazon Web Services (AWS), Microsoft Azure, and Oracle Cloud Infrastructure (OCI) cloud deployments of Cisco Identity Services Engine (ISE) could allow an unauthenticated, remote attacker to access sensitive data, execute limited administrative operations, modify system configurations, or disrupt services within the impacted systems.

This vulnerability exists because credentials are improperly generated when Cisco ISE is being deployed on cloud platforms, resulting in different Cisco ISE deployments sharing the same credentials. These credentials are shared across multiple Cisco ISE deployments as long as the software release and cloud platform are the same. An attacker could exploit this vulnerability by extracting the user credentials from Cisco ISE that is deployed in the cloud and then using them to access Cisco ISE that is deployed in other cloud environments through unsecured ports. A successful exploit could allow the attacker to access sensitive data, execute limited administrative operations, modify system configurations, or disrupt services within the impacted systems.
Note: If the Primary Administration node is deployed in the cloud, then Cisco ISE is affected by this vulnerability. If the Primary Administration node is on-premises, then it is not affected.",CISCO,Cisco Identity Services Engine Software,3.1.0; 3.1.0 p1; 3.1.0 p10; 3.1.0 p2; 3.1.0 p3; 3.1.0 p4; 3.1.0 p5; 3.1.0 p6; 3.1.0 p7; 3.1.0 p8; 3.1.0 p9; 3.2.0; 3.2.0 p1; 3.2.0 p2; 3.2.0 p3; 3.2.0 p4; 3.2.0 p5; 3.2.0 p6; 3.2.0 p7; 3.3 Patch 1; 3.3 Patch 2; 3.3 Patch 3; 3.3 Patch 4; 3.3 Patch 5; 3.3.0; 3.4 Patch 1; 3.4.0,hot
1575,CVE-2025-20288,cisco,2025-07-16T16:16:55.622Z,Cisco Unified Intelligence Center Server-Side Request Forgery Vulnerability,"A vulnerability in the web-based management interface of Cisco Unified Intelligence Center could allow an unauthenticated, remote attacker to conduct a server-side request forgery (SSRF) attack through an affected device.

This vulnerability is due to improper input validation for specific HTTP requests. An attacker could exploit this vulnerability by sending a crafted HTTP request to an affected device. A successful exploit could allow the attacker to send arbitrary network requests that are sourced from the affected device.",CISCO,Cisco Unified Contact Center Express; Cisco Unified Intelligence Center,10.5(1); 10.5(1)SU1; 10.5(1)SU1ES10; 10.6(1); 10.6(1)SU1; 10.6(1)SU2; 10.6(1)SU2ES04; 10.6(1)SU3; 10.6(1)SU3ES01; 10.6(1)SU3ES02; 10.6(1)SU3ES03; 11.0(1); 11.0(1)SU1; 11.0(1)SU1ES02; 11.0(1)SU1ES03; 11.0(2); 11.0(3); 11.5(1); 11.5(1)ES01; 11.5(1)SU1; 11.5(1)SU1ES01; 11.5(1)SU1ES02; 11.5(1)SU1ES03; 11.6(1); 11.6(1)ES01; 11.6(1)ES02; 11.6(2); 11.6(2)ES01; 11.6(2)ES02; 11.6(2)ES03; 11.6(2)ES04; 11.6(2)ES05; 11.6(2)ES06; 11.6(2)ES07; 11.6(2)ES08; 12.0(1); 12.0(1)ES01; 12.0(1)ES02; 12.0(1)ES03; 12.0(1)ES04; 12.5(1); 12.5(1)ES01; 12.5(1)ES02; 12.5(1)ES03; 12.5(1)SU; 12.5(1)SU1; 12.5(1)SU2; 12.5(1)SU3; 12.5(1)_SU01_ES01; 12.5(1)_SU01_ES02; 12.5(1)_SU01_ES03; 12.5(1)_SU02_ES01; 12.5(1)_SU02_ES02; 12.5(1)_SU02_ES03; 12.5(1)_SU02_ES04; 12.5(1)_SU03_ES01; 12.5(1)_SU03_ES02; 12.5(1)_SU03_ES03; 12.5(1)_SU03_ES04; 12.5(1)_SU03_ES05; 12.5(1)_SU03_ES06; 12.5(2)ET_CSCwi79933; 12.6(1); 12.6(1)_ES05_ET; 12.6(1)_ET; 12.6(2); 12.6(2)_504_Issue_ET; 12.6(2)_ET; 12.6(2)_Permalink_ET; 12.6.1_ExcelIssue_ET; 12.6.2_Amq_OOS_ET; 12.6.2_CSCwk19536_ET; 12.6.2_CSCwm96922_ET; 12.6.2_CSCwn48501_ET,warm
1576,CVE-2025-20290,cisco,2025-08-27T16:23:46.216Z,Cisco NXOS Software Sensitive Log Information Disclosure Vulnerability,"A vulnerability in the logging feature of Cisco NX-OS Software for Cisco Nexus 3000 Series Switches, Cisco Nexus 9000 Series Switches in standalone NX-OS mode, Cisco UCS 6400 Fabric Interconnects, Cisco UCS 6500 Series Fabric Interconnects, and Cisco UCS 9108 100G Fabric Interconnects could allow an authenticated, local attacker access to sensitive information.

This vulnerability is due to improper logging of sensitive information. An attacker could exploit this vulnerability by accessing log files on the file system where they are stored. A successful exploit could allow the attacker to access sensitive information, such as stored credentials.",CISCO,Cisco NX-OS Software; Cisco Unified Computing System (Managed),10.1(1); 10.1(2); 10.1(2t); 10.2(1); 10.2(1q); 10.2(2); 10.2(2a); 10.2(3); 10.2(3t); 10.2(3v); 10.2(4); 10.2(5); 10.2(6); 10.2(7); 10.2(8); 10.2(9); 10.3(1); 10.3(2); 10.3(3); 10.3(3o); 10.3(3p); 10.3(3q); 10.3(3r); 10.3(3w); 10.3(3x); 10.3(4); 10.3(4a); 10.3(4g); 10.3(4h); 10.3(5); 10.3(6); 10.3(7); 10.3(99w); 10.3(99x); 10.4(1); 10.4(2); 10.4(3); 10.4(4); 10.4(4g); 10.4(5); 10.5(1); 10.5(2); 10.5(3); 10.5(3e); 10.5(3o); 10.5(3t); 4.0(1a); 4.0(1b); 4.0(1c); 4.0(1d); 4.0(2a); 4.0(2b); 4.0(2d); 4.0(2e); 4.0(4a); 4.0(4b); 4.0(4c); 4.0(4d); 4.0(4e); 4.0(4f); 4.0(4g); 4.0(4h); 4.0(4i); 4.0(4k); 4.0(4l); 4.0(4m); 4.0(4n); 4.0(4o); 4.1(1a); 4.1(1b); 4.1(1c); 4.1(1d); 4.1(1e); 4.1(2a); 4.1(2b); 4.1(2c); 4.1(3a); 4.1(3b); 4.1(3c); 4.1(3d); 4.1(3e); 4.1(3f); 4.1(3h); 4.1(3i); 4.1(3j); 4.1(3k); 4.1(3l); 4.1(3m); 4.1(3n); 4.1(4a); 4.2(1c); 4.2(1d); 4.2(1f); 4.2(1i); 4.2(1k); 4.2(1l); 4.2(1m); 4.2(1n); 4.2(2a); 4.2(2c); 4.2(2d); 4.2(2e); 4.2(3b); 4.2(3d); 4.2(3e); 4.2(3g); 4.2(3h); 4.2(3i); 4.2(3j); 4.2(3k); 4.2(3l); 4.2(3m); 4.2(3n); 4.2(3o); 4.3(2b); 4.3(2c); 4.3(2e); 4.3(2f); 4.3(3a); 4.3(3c); 4.3(4a); 4.3(4b); 4.3(4c); 4.3(4d); 4.3(4e); 4.3(4f); 4.3(5a); 4.3(5c); 4.3(5d); 4.3(5e); 4.3(6a); 4.3(6b); 7.0(3)F3(1); 7.0(3)F3(2); 7.0(3)F3(3); 7.0(3)F3(3a); 7.0(3)F3(3c); 7.0(3)F3(4); 7.0(3)F3(5); 7.0(3)I4(4); 7.0(3)I4(5); 7.0(3)I4(6); 7.0(3)I4(6t); 7.0(3)I4(7); 7.0(3)I4(8); 7.0(3)I4(8a); 7.0(3)I4(8b); 7.0(3)I4(8z); 7.0(3)I4(9); 7.0(3)I5(1); 7.0(3)I5(2); 7.0(3)I5(3); 7.0(3)I5(3a); 7.0(3)I5(3b); 7.0(3)I6(1); 7.0(3)I6(2); 7.0(3)I7(1); 7.0(3)I7(10); 7.0(3)I7(2); 7.0(3)I7(3); 7.0(3)I7(3z); 7.0(3)I7(4); 7.0(3)I7(5); 7.0(3)I7(5a); 7.0(3)I7(6); 7.0(3)I7(6z); 7.0(3)I7(7); 7.0(3)I7(8); 7.0(3)I7(9); 7.0(3)I7(9w); 7.0(3)IA7(1); 7.0(3)IA7(2); 7.0(3)IM7(2); 9.2(1); 9.2(2); 9.2(2t); 9.2(2v); 9.2(3); 9.2(3y); 9.2(4); 9.3(1); 9.3(10); 9.3(11); 9.3(12); 9.3(13); 9.3(14); 9.3(15); 9.3(1z); 9.3(2); 9.3(3); 9.3(4); 9.3(5); 9.3(5w); 9.3(6); 9.3(7); 9.3(7a); 9.3(7k); 9.3(8); 9.3(9),warm
1577,CVE-2025-20292,cisco,2025-08-27T16:23:35.656Z,Cisco NXOS Software Command Injection Vulnerability,"A vulnerability in the CLI of Cisco NX-OS Software could allow an authenticated, local attacker to execute a command injection attack on the underlying operating system of an affected device. To exploit this vulnerability, the attacker must have valid user credentials on the affected device.

This vulnerability is due to insufficient validation of user-supplied input. An attacker could exploit this vulnerability by entering crafted input as the argument of an affected CLI command. A successful exploit could allow the attacker to read and write files on the underlying operating system with the privileges of a non-root user account. File system access is limited to the permissions that are granted to that non-root user account.",CISCO,Cisco NX-OS Software; Cisco NX-OS System Software in ACI Mode; Cisco Unified Computing System (Managed),10.1(1); 10.1(2); 10.1(2t); 10.2(1); 10.2(1q); 10.2(2); 10.2(2a); 10.2(3); 10.2(3t); 10.2(3v); 10.2(4); 10.2(5); 10.2(6); 10.2(7); 10.2(8); 10.3(1); 10.3(2); 10.3(3); 10.3(3o); 10.3(3p); 10.3(3q); 10.3(3r); 10.3(3w); 10.3(3x); 10.3(4); 10.3(4a); 10.3(4g); 10.3(4h); 10.3(5); 10.3(6); 10.3(99w); 10.3(99x); 10.4(1); 10.4(2); 10.4(3); 10.4(4); 10.4(4g); 10.5(1); 10.5(2); 13.2(10e); 13.2(10f); 13.2(10g); 13.2(1l); 13.2(1m); 13.2(2l); 13.2(2o); 13.2(3i); 13.2(3j); 13.2(3n); 13.2(3o); 13.2(3r); 13.2(3s); 13.2(41d); 13.2(4d); 13.2(4e); 13.2(5d); 13.2(5e); 13.2(5f); 13.2(6i); 13.2(7f); 13.2(7k); 13.2(8d); 13.2(9b); 13.2(9f); 13.2(9h); 14.0(1h); 14.0(2c); 14.0(3c); 14.0(3d); 14.1(1i); 14.1(1j); 14.1(1k); 14.1(1l); 14.1(2g); 14.1(2m); 14.1(2o); 14.1(2s); 14.1(2u); 14.1(2w); 14.1(2x); 14.2(1i); 14.2(1j); 14.2(1l); 14.2(2e); 14.2(2f); 14.2(2g); 14.2(3j); 14.2(3l); 14.2(3n); 14.2(3q); 14.2(4i); 14.2(4k); 14.2(4o); 14.2(4p); 14.2(5k); 14.2(5l); 14.2(5n); 14.2(6d); 14.2(6g); 14.2(6h); 14.2(6l); 14.2(6o); 14.2(7f); 14.2(7l); 14.2(7q); 14.2(7r); 14.2(7s); 14.2(7t); 14.2(7u); 14.2(7v); 14.2(7w); 15.0(1k); 15.0(1l); 15.0(2e); 15.0(2h); 15.1(1h); 15.1(2e); 15.1(3e); 15.1(4c); 15.2(1g); 15.2(2e); 15.2(2f); 15.2(2g); 15.2(2h); 15.2(3e); 15.2(3f); 15.2(3g); 15.2(4d); 15.2(4e); 15.2(4f); 15.2(5c); 15.2(5d); 15.2(5e); 15.2(6e); 15.2(6g); 15.2(6h); 15.2(7f); 15.2(7g); 15.2(8d); 15.2(8e); 15.2(8f); 15.2(8g); 15.2(8h); 15.2(8i); 15.3(1d); 15.3(2a); 15.3(2b); 15.3(2c); 15.3(2d); 15.3(2e); 15.3(2f); 16.0(1g); 16.0(1j); 16.0(2h); 16.0(2j); 16.0(3d); 16.0(3e); 16.0(3g); 16.0(4c); 16.0(5h); 16.0(5j); 16.0(6c); 16.0(6h); 16.0(7e); 16.0(8e); 16.0(8f); 16.0(8h); 16.0(9c); 16.0(9d); 16.1(1f); 16.1(2f); 16.1(2g); 16.1(3f); 16.1(3g); 4.0(1a); 4.0(1b); 4.0(1c); 4.0(1d); 4.0(2a); 4.0(2b); 4.0(2d); 4.0(2e); 4.0(4a); 4.0(4b); 4.0(4c); 4.0(4d); 4.0(4e); 4.0(4f); 4.0(4g); 4.0(4h); 4.0(4i); 4.0(4k); 4.0(4l); 4.0(4m); 4.0(4n); 4.0(4o); 4.1(1a); 4.1(1b); 4.1(1c); 4.1(1d); 4.1(1e); 4.1(2a); 4.1(2b); 4.1(2c); 4.1(3a); 4.1(3b); 4.1(3c); 4.1(3d); 4.1(3e); 4.1(3f); 4.1(3h); 4.1(3i); 4.1(3j); 4.1(3k); 4.1(3l); 4.1(3m); 4.1(3n); 4.1(4a); 4.2(1c); 4.2(1d); 4.2(1f); 4.2(1i); 4.2(1k); 4.2(1l); 4.2(1m); 4.2(1n); 4.2(2a); 4.2(2c); 4.2(2d); 4.2(2e); 4.2(3b); 4.2(3d); 4.2(3e); 4.2(3g); 4.2(3h); 4.2(3i); 4.2(3j); 4.2(3k); 4.2(3l); 4.2(3m); 4.2(3n); 4.2(3o); 4.3(2b); 4.3(2c); 4.3(2e); 4.3(2f); 4.3(3a); 4.3(3c); 4.3(4a); 4.3(4b); 4.3(4c); 4.3(4d); 4.3(4e); 4.3(4f); 4.3(5a); 4.3(5c); 4.3(5d); 4.3(5e); 5.2(1)SV5(1.1); 5.2(1)SV5(1.2); 5.2(1)SV5(1.3); 5.2(1)SV5(1.3a); 5.2(1)SV5(1.3b); 5.2(1)SV5(1.3c); 6.0(2)A8(1); 6.0(2)A8(10); 6.0(2)A8(10a); 6.0(2)A8(11); 6.0(2)A8(11a); 6.0(2)A8(11b); 6.0(2)A8(2); 6.0(2)A8(3); 6.0(2)A8(4); 6.0(2)A8(4a); 6.0(2)A8(5); 6.0(2)A8(6); 6.0(2)A8(7); 6.0(2)A8(7a); 6.0(2)A8(7b); 6.0(2)A8(8); 6.0(2)A8(9); 7.0(3)F3(1); 7.0(3)F3(2); 7.0(3)F3(3); 7.0(3)F3(3a); 7.0(3)F3(3c); 7.0(3)F3(4); 7.0(3)F3(5); 7.0(3)I4(1); 7.0(3)I4(1t); 7.0(3)I4(2); 7.0(3)I4(3); 7.0(3)I4(4); 7.0(3)I4(5); 7.0(3)I4(6); 7.0(3)I4(6t); 7.0(3)I4(7); 7.0(3)I4(8); 7.0(3)I4(8a); 7.0(3)I4(8b); 7.0(3)I4(8z); 7.0(3)I4(9); 7.0(3)I5(1); 7.0(3)I5(2); 7.0(3)I5(3); 7.0(3)I5(3a); 7.0(3)I5(3b); 7.0(3)I6(1); 7.0(3)I6(2); 7.0(3)I7(1); 7.0(3)I7(10); 7.0(3)I7(2); 7.0(3)I7(3); 7.0(3)I7(3z); 7.0(3)I7(4); 7.0(3)I7(5); 7.0(3)I7(5a); 7.0(3)I7(6); 7.0(3)I7(6z); 7.0(3)I7(7); 7.0(3)I7(8); 7.0(3)I7(9); 7.0(3)I7(9w); 7.0(3)IA7(1); 7.0(3)IA7(2); 7.0(3)IC4(4); 7.0(3)IM7(2); 7.3(0)D1(1); 7.3(0)DX(1); 7.3(0)N1(1); 7.3(0)N1(1a); 7.3(0)N1(1b); 7.3(1)D1(1); 7.3(1)N1(1); 7.3(10)N1(1); 7.3(11)N1(1); 7.3(11)N1(1a); 7.3(12)N1(1); 7.3(13)N1(1); 7.3(14)N1(1); 7.3(15)N1(1); 7.3(2)D1(1); 7.3(2)D1(1d); 7.3(2)D1(2); 7.3(2)D1(3); 7.3(2)D1(3a); 7.3(2)N1(1); 7.3(2)N1(1b); 7.3(2)N1(1c); 7.3(3)D1(1); 7.3(3)N1(1); 7.3(4)D1(1); 7.3(4)N1(1); 7.3(4)N1(1a); 7.3(5)D1(1); 7.3(5)N1(1); 7.3(6)D1(1); 7.3(6)N1(1); 7.3(6)N1(1a); 7.3(7)D1(1); 7.3(7)N1(1); 7.3(7)N1(1a); 7.3(7)N1(1b); 7.3(8)D1(1); 7.3(8)N1(1); 7.3(8)N1(1a); 7.3(8)N1(1b); 7.3(9)D1(1); 7.3(9)N1(1); 8.1(1); 8.1(1a); 8.1(1b); 8.1(2); 8.1(2a); 8.2(1); 8.2(10); 8.2(11); 8.2(2); 8.2(3); 8.2(4); 8.2(5); 8.2(6); 8.2(7); 8.2(7a); 8.2(8); 8.2(9); 8.3(1); 8.3(2); 8.4(1); 8.4(10); 8.4(1a); 8.4(2); 8.4(2a); 8.4(2b); 8.4(2c); 8.4(2d); 8.4(2e); 8.4(2f); 8.4(3); 8.4(4); 8.4(4a); 8.4(5); 8.4(6); 8.4(6a); 8.4(7); 8.4(8); 8.4(9); 8.5(1); 9.2(1); 9.2(1a); 9.2(2); 9.2(2t); 9.2(2v); 9.2(3); 9.2(3y); 9.2(4); 9.3(1); 9.3(10); 9.3(11); 9.3(12); 9.3(13); 9.3(14); 9.3(1z); 9.3(2); 9.3(2a); 9.3(3); 9.3(4); 9.3(5); 9.3(5w); 9.3(6); 9.3(7); 9.3(7a); 9.3(7k); 9.3(8); 9.3(9); 9.4(1); 9.4(1a); 9.4(2); 9.4(2a); 9.4(3); 9.4(3a),warm
1578,CVE-2025-20294,cisco,2025-08-27T16:23:27.719Z,Cisco UCS Manager Software Command Injection Vulnerability,"Multiple vulnerabilities in the CLI and web-based management interface of Cisco UCS Manager Software could allow an authenticated, remote attacker with administrative privileges to perform command injection attacks on an affected system and elevate privileges to root.
&nbsp;
These vulnerabilities are due to insufficient input validation of command arguments supplied by the user. An attacker could exploit these vulnerabilities by authenticating to a device and submitting crafted input to the affected commands. A successful exploit could allow the attacker to execute arbitrary commands on the underlying operating system of the affected device with root-level privileges.",CISCO,Cisco Unified Computing System (Managed),3.2(1d); 3.2(2b); 3.2(2c); 3.2(2d); 3.2(2e); 3.2(2f); 3.2(3a); 3.2(3b); 3.2(3d); 3.2(3e); 3.2(3g); 3.2(3h); 3.2(3i); 3.2(3j); 3.2(3k); 3.2(3l); 3.2(3n); 3.2(3o); 3.2(3p); 4.0(1a); 4.0(1b); 4.0(1c); 4.0(1d); 4.0(2a); 4.0(2b); 4.0(2d); 4.0(2e); 4.0(4a); 4.0(4b); 4.0(4c); 4.0(4d); 4.0(4e); 4.0(4f); 4.0(4g); 4.0(4h); 4.0(4i); 4.0(4k); 4.0(4l); 4.0(4m); 4.0(4n); 4.0(4o); 4.1(1a); 4.1(1b); 4.1(1c); 4.1(1d); 4.1(1e); 4.1(2a); 4.1(2b); 4.1(2c); 4.1(3a); 4.1(3b); 4.1(3c); 4.1(3d); 4.1(3e); 4.1(3f); 4.1(3h); 4.1(3i); 4.1(3j); 4.1(3k); 4.1(3l); 4.1(3m); 4.1(3n); 4.1(4a); 4.2(1c); 4.2(1d); 4.2(1f); 4.2(1i); 4.2(1k); 4.2(1l); 4.2(1m); 4.2(1n); 4.2(2a); 4.2(2c); 4.2(2d); 4.2(2e); 4.2(3b); 4.2(3d); 4.2(3e); 4.2(3g); 4.2(3h); 4.2(3i); 4.2(3j); 4.2(3k); 4.2(3l); 4.2(3m); 4.2(3n); 4.2(3o); 4.3(2b); 4.3(2c); 4.3(2e); 4.3(2f); 4.3(3a); 4.3(3c); 4.3(4a); 4.3(4b); 4.3(4c); 4.3(4d); 4.3(4e); 4.3(4f); 4.3(5a); 4.3(5c); 4.3(5d); 4.3(5e); 4.3(6a); 4.3(6b),warm
1579,CVE-2025-20295,cisco,2025-08-27T16:23:29.354Z,Cisco UCS Manager Software Command Injection Vulnerability,"A vulnerability in the CLI of Cisco UCS Manager Software could allow an authenticated, local attacker with administrative privileges to read or create a file or overwrite any file on the file system of the underlying operating system of an affected device, including system files.
&nbsp;
This vulnerability is due to insufficient input validation of command arguments supplied by the user. An attacker could exploit this vulnerability by authenticating to a device and submitting crafted input to the affected command. A successful exploit could allow the attacker to read or create a file or overwrite any file on the file system of the underlying operating system of the affected device, including system files. To exploit this vulnerability, the attacker must have valid administrative credentials on the affected device.",CISCO,Cisco Unified Computing System (Managed),3.2(1d); 3.2(2b); 3.2(2c); 3.2(2d); 3.2(2e); 3.2(2f); 3.2(3a); 3.2(3b); 3.2(3d); 3.2(3e); 3.2(3g); 3.2(3h); 3.2(3i); 3.2(3j); 3.2(3k); 3.2(3l); 3.2(3n); 3.2(3o); 3.2(3p); 4.0(1a); 4.0(1b); 4.0(1c); 4.0(1d); 4.0(2a); 4.0(2b); 4.0(2d); 4.0(2e); 4.0(4a); 4.0(4b); 4.0(4c); 4.0(4d); 4.0(4e); 4.0(4f); 4.0(4g); 4.0(4h); 4.0(4i); 4.0(4k); 4.0(4l); 4.0(4m); 4.0(4n); 4.0(4o); 4.1(1a); 4.1(1b); 4.1(1c); 4.1(1d); 4.1(1e); 4.1(2a); 4.1(2b); 4.1(2c); 4.1(3a); 4.1(3b); 4.1(3c); 4.1(3d); 4.1(3e); 4.1(3f); 4.1(3h); 4.1(3i); 4.1(3j); 4.1(3k); 4.1(3l); 4.1(3m); 4.1(3n); 4.1(4a); 4.2(1c); 4.2(1d); 4.2(1f); 4.2(1i); 4.2(1k); 4.2(1l); 4.2(1m); 4.2(1n); 4.2(2a); 4.2(2c); 4.2(2d); 4.2(2e); 4.2(3b); 4.2(3d); 4.2(3e); 4.2(3g); 4.2(3h); 4.2(3i); 4.2(3j); 4.2(3k); 4.2(3l); 4.2(3m); 4.2(3n); 4.2(3o); 4.3(2b); 4.3(2c); 4.3(2e); 4.3(2f); 4.3(3a); 4.3(3c); 4.3(4a); 4.3(4b); 4.3(4c); 4.3(4d); 4.3(4e); 4.3(4f); 4.3(5a); 4.3(5c); 4.3(5d); 4.3(5e); 4.3(6a); 4.3(6b),warm
1580,CVE-2025-20296,cisco,2025-08-27T16:23:09.472Z,Cisco UCS Manager Software Stored Software Stored Cross-Site Scripting Vulnerability,"A vulnerability in the web-based management interface of Cisco UCS Manager Software could allow an authenticated, remote attacker to conduct a stored cross-site scripting (XSS) attack against a user of the interface.

This vulnerability is due to insufficient validation of user-supplied input by the web-based management interface of an affected system. An attacker could exploit this vulnerability by injecting malicious data into specific pages of the interface. A successful exploit could allow the attacker to execute arbitrary script code in the context of the affected interface or access sensitive, browser-based information. To exploit this vulnerability, the attacker must be a member of the Administrator or AAA Administrator role.",CISCO,Cisco Unified Computing System (Managed),3.2(1d); 3.2(2b); 3.2(2c); 3.2(2d); 3.2(2e); 3.2(2f); 3.2(3a); 3.2(3b); 3.2(3d); 3.2(3e); 3.2(3g); 3.2(3h); 3.2(3i); 3.2(3j); 3.2(3k); 3.2(3l); 3.2(3n); 3.2(3o); 3.2(3p); 4.0(1a); 4.0(1b); 4.0(1c); 4.0(1d); 4.0(2a); 4.0(2b); 4.0(2d); 4.0(2e); 4.0(4a); 4.0(4b); 4.0(4c); 4.0(4d); 4.0(4e); 4.0(4f); 4.0(4g); 4.0(4h); 4.0(4i); 4.0(4k); 4.0(4l); 4.0(4m); 4.0(4n); 4.0(4o); 4.1(1a); 4.1(1b); 4.1(1c); 4.1(1d); 4.1(1e); 4.1(2a); 4.1(2b); 4.1(2c); 4.1(3a); 4.1(3b); 4.1(3c); 4.1(3d); 4.1(3e); 4.1(3f); 4.1(3h); 4.1(3i); 4.1(3j); 4.1(3k); 4.1(3l); 4.1(3m); 4.1(3n); 4.1(4a); 4.2(1c); 4.2(1d); 4.2(1f); 4.2(1i); 4.2(1k); 4.2(1l); 4.2(1m); 4.2(1n); 4.2(2a); 4.2(2c); 4.2(2d); 4.2(2e); 4.2(3b); 4.2(3d); 4.2(3e); 4.2(3g); 4.2(3h); 4.2(3i); 4.2(3j); 4.2(3k); 4.2(3l); 4.2(3m); 4.2(3n); 4.2(3o); 4.3(2b); 4.3(2c); 4.3(2e); 4.3(2f); 4.3(3a); 4.3(3c); 4.3(4a); 4.3(4b); 4.3(4c); 4.3(4d); 4.3(4e); 4.3(4f); 4.3(5a); 4.3(5c); 4.3(5d); 4.3(5e),hot
